Kode,SBI,Firm Size
AGRO,15.6,30.96377877
AGRS,12.6,29.91890213
ARTO,11.4,28.41028773
BABP,11,30.08657654
BACA,10.2,34.61162739
BBCA,17,28.58138993
BBHI,10.2,32.01227968
BBKP,14,30.28142492
BBMD,15.2,34.42374418
BBNI,18.6,34.95208045
BBRI,17.8,33.52047621
BBTN,17.6,29.32136126
BBYB,6.6,30.41633528
BCIC,12.2,32.93377895
BDMN,13,29.30573746
BEKS,12.8,29.31100248
BGTG,11.8,29.7637291
BINA,9.6,32.57931283
BJBR,15.8,32.05729729
BJTM,14.8,30.53779648
BKSW,12,29.94459755
BMAS,10.6,34.89598534
BMRI,16,29.66409463
BNBA,12.4,33.26917507
BNGA,14.2,32.78560905
BNII,16,32.91790384
BNLI,14,31.68654837
BSIM,13.8,31.42902503
BSWD,11.4,29.0191669
BTPN,14.6,32.84141384
BTPS,15,30.43043463
BVIC,12.2,30.89759727
DNAR,11.4,29.46762366
INPC,15.8,31.04963151
MAYA,14,32.15842461
MCOR,13,30.85927574
MEGA,12.4,32.35132775
NISP,16.8,32.96033896
NOBU,12.2,30.25118203
PNBN,15.2,33.01582389
PNBS,13,30.05600809
SDRA,11,31.27002572
